label	IsolateName	HostLevel1	name_host	Host	LocationLLev1	Location	name	clade	date
A/common_pochard/Hyogo/2801B004/2011|2011-01-12|Japan|Avian	A/common_pochard/Hyogo/2801B004/2011	Avian	common_pochard	Wild birds	Japan	Japan	A/common_pochard/Hyogo/2801B004/2011|EPI_ISL_129209|A_/_H5N1||2011-01-12	2.3.2.1c	1/12/2011
A/little_grebe/Hyogo/2801B015/2011|2011-01-25|Japan|Avian	A/little_grebe/Hyogo/2801B015/2011	Avian	little_grebe	Wild birds	Japan	Japan	A/little_grebe/Hyogo/2801B015/2011|EPI_ISL_129210|A_/_H5N1||2011-01-25	2.3.2.1c	1/25/2011
A/peregrine_falcon/Nagasaki/4202A039/2011|2011-02-12|Japan|Avian	A/peregrine_falcon/Nagasaki/4202A039/2011	Avian	peregrine_falcon	Wild birds	Japan	Japan	A/peregrine_falcon/Nagasaki/4202A039/2011|EPI_ISL_129227|A_/_H5N1||2011-02-12	2.3.2.1c	2/12/2011
A/chicken/Laos/M05/2014|2014|Laos|Avian	A/chicken/Laos/M05/2014	Avian	chicken	Terrestrial poultry	Laos	Laos	A/chicken/Laos/M05/2014|EPI_ISL_504908|A_/_H5N1||2014-08-01	2.3.2.1f	2014
A/chicken/Laos/M06/2014|2014|Laos|Avian	A/chicken/Laos/M06/2014	Avian	chicken	Terrestrial poultry	Laos	Laos	A/chicken/Laos/M06/2014|EPI_ISL_504909|A_/_H5N1||2014-08-01	2.3.2.1f	2014
A/whooper_swan/Mongolia/11/2010|2010-05-01|Mongolia|Avian	A/whooper_swan/Mongolia/11/2010	Avian	whooper_swan	Wild birds	Mongolia	Mongolia	A/whooper_swan/Mongolia/11/2010|EPI_ISL_76634|A_/_H5N1||2010-01-01	2.3.2.1c	5/1/2010
A/chicken/Nigeria/16VIR5840-36/2015|2015-02-23|Nigeria|Avian	A/chicken/Nigeria/16VIR5840-36/2015	Avian	chicken	Terrestrial poultry	Nigeria	Nigeria	A/chicken/Nigeria/16VIR5840-36/2015|EPI_ISL_329284|A_/_H5N1||2015-02-23	2.3.2.1f	2/23/2015
A/chicken/Nigeria/16VIR5840-58/2015|2015-04-24|Nigeria|Avian	A/chicken/Nigeria/16VIR5840-58/2015	Avian	chicken	Terrestrial poultry	Nigeria	Nigeria	A/chicken/Nigeria/16VIR5840-58/2015|EPI_ISL_329269|A_/_H5N1||2015-04-24	2.3.2.1f	4/24/2015
A/chicken/Nigeria/16VIR5840-61/2015|2015-07-29|Nigeria|Avian	A/chicken/Nigeria/16VIR5840-61/2015	Avian	chicken	Terrestrial poultry	Nigeria	Nigeria	A/chicken/Nigeria/16VIR5840-61/2015|EPI_ISL_329267|A_/_H5N1||2015-07-29	2.3.2.1f	7/29/2015
A/chicken/Primorsky/85/2008|2008-04-08|Russia|Avian	A/chicken/Primorsky/85/2008	Avian	chicken	Terrestrial poultry	Russia	Russia	A/chicken/Primorsky/85/2008|EPI_ISL_28437|A_/_H5N1||2008-04-08	2.3.2.1	4/8/2008
A/chicken/Primorje/1/2008|2008-04-10|Russia|Avian	A/chicken/Primorje/1/2008	Avian	chicken	Terrestrial poultry	Russia	Russia	A/chicken/Primorje/1/2008|EPI_ISL_63010|A_/_H5N1||2008-04-10	2.3.2.1	4/10/2008
A/black-headed_gull/Tyva/115/2009|2009-06-09|Russia|Avian	A/black-headed_gull/Tyva/115/2009	Avian	black-headed_gull	Wild birds	Russia	Russia	A/black-headed_gull/Tyva/115/2009|EPI_ISL_31936|A_/_H5N1||2009-06-09	2.3.2.1c	6/9/2009
A/great_crested_grebe/Tyva/120/2009|2009-06-09|Russia|Avian	A/great_crested_grebe/Tyva/120/2009	Avian	great_crested_grebe	Wild birds	Russia	Russia	A/great_crested_grebe/Tyva/120/2009|EPI_ISL_31937|A_/_H5N1||2009-06-09	2.3.2.1c	6/9/2009
A/great_crested_grebe/Tyva/22/2010|2010-06-01|Russia|Avian	A/great_crested_grebe/Tyva/22/2010	Avian	great_crested_grebe	Wild birds	Russia	Russia	A/great_crested_grebe/Tyva/22/2010|EPI_ISL_80265|A_/_H5N1||2010-06-01	2.3.2.1c	6/1/2010
A/chicken/Korea/Gimje/2008|2008-04-01|South_Korea|Avian	A/chicken/Korea/Gimje/2008	Avian	chicken	Terrestrial poultry	South Korea	South Korea	A/chicken/Korea/Gimje/2008|EPI_ISL_71165|A_/_H5N1||2008-04-01	2.3.2.1	4/1/2008
A/duck/Korea/JEQ149/2008|2008-04-06|South_Korea|Avian	A/duck/Korea/JEQ149/2008	Avian	duck	Duck	South Korea	South Korea	A/duck/Korea/JEQ149/2008|EPI_ISL_71169|A_/_H5N1||2008-04-06	2.3.2.1	4/6/2008
A/chicken/Korea/YAQ173/2008|2008-04-09|South_Korea|Avian	A/chicken/Korea/YAQ173/2008	Avian	chicken	Terrestrial poultry	South Korea	South Korea	A/chicken/Korea/YAQ173/2008|EPI_ISL_71168|A_/_H5N1||2008-04-09	2.3.2.1	4/9/2008
A/duck/Korea/NSQ263/2008|2008-04-22|South_Korea|Avian	A/duck/Korea/NSQ263/2008	Avian	duck	Duck	South Korea	South Korea	A/duck/Korea/NSQ263/2008|EPI_ISL_71170|A_/_H5N1||2008-04-22	2.3.2.1	4/22/2008
A/chicken/Korea/USQ284/2008|2008-04-28|South_Korea|Avian	A/chicken/Korea/USQ284/2008	Avian	chicken	Terrestrial poultry	South Korea	South Korea	A/chicken/Korea/USQ284/2008|EPI_ISL_71167|A_/_H5N1||2008-04-28	2.3.2.1	4/28/2008
A/baikal_teal/Korea/Q524/2010|2010-12-01|South_Korea|Avian	A/baikal_teal/Korea/Q524/2010	Avian	baikal_teal	Wild birds	South Korea	South Korea	A/baikal_teal/Korea/Q524/2010|EPI_ISL_108408|A_/_H5N1||2010-12-01	2.3.2.1c	12/1/2010
A/chicken/Korea/PT412/2011|2011-01-01|South_Korea|Avian	A/chicken/Korea/PT412/2011	Avian	chicken	Terrestrial poultry	South Korea	South Korea	A/chicken/Korea/PT412/2011|EPI_ISL_108428|A_/_H5N1||2011-01-01	2.3.2.1c	1/1/2011
A/eurasian_sparrowhawk/Korea/Q94/2011|2011-01-01|South_Korea|Avian	A/eurasian_sparrowhawk/Korea/Q94/2011	Avian	eurasian_sparrowhawk	Wild birds	South Korea	South Korea	A/eurasian_sparrowhawk/Korea/Q94/2011|EPI_ISL_108422|A_/_H5N1||2011-01-01	2.3.2.1c	1/1/2011
A/pheasant/Korea/PT411/2011|2011-01-01|South_Korea|Avian	A/pheasant/Korea/PT411/2011	Avian	pheasant	Wild birds	South Korea	South Korea	A/pheasant/Korea/PT411/2011|EPI_ISL_108426|A_/_H5N1||2011-01-01	2.3.2.1c	1/1/2011
A/eurasian_eagle_owl/Korea/Q196/2011|2011-02-01|South_Korea|Avian	A/eurasian_eagle_owl/Korea/Q196/2011	Avian	eurasian_eagle_owl	Wild birds	South Korea	South Korea	A/eurasian_eagle_owl/Korea/Q196/2011|EPI_ISL_108413|A_/_H5N1||2011-02-01	2.3.2.1c	2/1/2011
A/turkey/Korea/DDC518/2011|2011-02-01|South_Korea|Avian	A/turkey/Korea/DDC518/2011	Avian	turkey	Terrestrial poultry	South Korea	South Korea	A/turkey/Korea/DDC518/2011|EPI_ISL_108423|A_/_H5N1||2011-02-01	2.3.2.1c	2/1/2011
A/chicken/Togo/508/2018|2018-04-13|Togo|Avian	A/chicken/Togo/508/2018	Avian	chicken	Terrestrial poultry	Togo	Africa	A/chicken/Togo/508/2018|EPI_ISL_379945|A_/_H5N1||2018-04-13	2.3.2.1f	4/13/2018
A/chicken/Togo/509/2018|2018-04-13|Togo|Avian	A/chicken/Togo/509/2018	Avian	chicken	Terrestrial poultry	Togo	Africa	A/chicken/Togo/509/2018|EPI_ISL_379956|A_/_H5N1||2018-04-13	2.3.2.1f	4/13/2018
A/muscovy_duck/Vietnam/LBM57/2011_|2011-11-22|Viet_Nam|Avian	A/muscovy_duck/Vietnam/LBM57/2011_	Avian	muscovy_duck	Wild birds	Vietnam	Vietnam	NA	2.3.2.1a	11/22/2011
A/duck/Vietnam/NCVD-KA25/2011|2011-12-30|Viet_Nam|Avian	A/duck/Vietnam/NCVD-KA25/2011	Avian	duck	Duck	Vietnam	Vietnam	A/duck/Vietnam/NCVD-KA25/2011|EPI_ISL_170534|A_/_H5N1||2011-12-30	2.3.2.1b	12/30/2011
A/duck/Vietnam/LBM136/2012|2012-03-07|Viet_Nam|Avian	A/duck/Vietnam/LBM136/2012	Avian	duck	Duck	Vietnam	Vietnam	A/duck/Vietnam/LBM136/2012|EPI_ISL_127577|A_/_H5N1||2012-03-07	2.3.2.1a	3/7/2012
A/muscovy_duck/Vietnam/NCVD-KA286/2012|2012-08-18|Viet_Nam|Avian	A/muscovy_duck/Vietnam/NCVD-KA286/2012	Avian	muscovy_duck	Wild birds	Vietnam	Vietnam	A/muscovy_duck/Vietnam/NCVD-KA286/2012|EPI_ISL_170854|A_/_H5N1||2012-08-18	2.3.2.1e	8/18/2012
A/duck/Vietnam/NCVD-KA294/2012|2012-08-22|Viet_Nam|Avian	A/duck/Vietnam/NCVD-KA294/2012	Avian	duck	Duck	Vietnam	Vietnam	A/duck/Vietnam/NCVD-KA294/2012|EPI_ISL_170852|A_/_H5N1||2012-08-22	2.3.2.1a	8/22/2012
A/duck/Vietnam/NCVD-0004/2013|2013-01-03|Viet_Nam|Avian	A/duck/Vietnam/NCVD-0004/2013	Avian	duck	Duck	Vietnam	Vietnam	A/duck/Vietnam/NCVD-0004/2013|EPI_ISL_245271|A_/_H5N1||2013-01-03	2.3.2.1e	1/3/2013
A/chicken/Vietnam/NCVD-2749/2013|2013-02-04|Viet_Nam|Avian	A/chicken/Vietnam/NCVD-2749/2013	Avian	chicken	Terrestrial poultry	Vietnam	Vietnam	A/chicken/Vietnam/NCVD-2749/2013|EPI_ISL_245264|A_/_H5N1||2013-02-04	2.3.2.1a	2/4/2013
A/pheasant/TienGiang/0025/2013|2013-02-04|Viet_Nam|Avian	A/pheasant/TienGiang/0025/2013	Avian	pheasant	Wild birds	Vietnam	Vietnam	A/pheasant/TienGiang/0025/2013|EPI_ISL_224902|A_/_H5N1||2013-02-04	2.3.2.1e	2/4/2013
A/duck/Vietnam/NCVD-0033/2013|2013-02-05|Viet_Nam|Avian	A/duck/Vietnam/NCVD-0033/2013	Avian	duck	Duck	Vietnam	Vietnam	A/duck/Vietnam/NCVD-0033/2013|EPI_ISL_245297|A_/_H5N1||2013-02-05	2.3.2.1a	2/5/2013
A/muscovy_duck/Vietnam/LBM344/2013|2013-02-06|Viet_Nam|Avian	A/muscovy_duck/Vietnam/LBM344/2013	Avian	muscovy_duck	Wild birds	Vietnam	Vietnam	A/muscovy_duck/Vietnam/LBM344/2013|EPI_ISL_143928|A_/_H5N1||2013-02-06	2.3.2.1e	2/6/2013
